Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
3;17/09/1982;light green;-0.009856941;;;;;;
3;20/09/1982;light green;-0.000326406;;;;;;
3;21/09/1982;light green;0.01934532;;;;;;
3;22/09/1982;light green;-0.007126837;;;;;;
3;23/09/1982;light green;-0.001451732;;;;;;
3;24/09/1982;light green;-0.00395766;;;;;;
3;27/09/1982;light green;0.00243272;;;;;;
3;28/09/1982;light green;-0.003073975;;;;;;
3;29/09/1982;light green;-0.013063945;;;;;;
3;30/09/1982;light green;-0.009948196;;;;;;
3;1/10/1982;light green;0.012871641;;;;;;
3;4/10/1982;light green;-0.003771412;;;;;;
3;5/10/1982;light green;0.003868005;;;;;;
3;6/10/1982;light green;0.032710261;;;;;;
3;7/10/1982;light green;0.022465681;;;;;;
3;8/10/1982;light green;0.017468944;;;;;;
3;11/10/1982;light green;0.026096894;;;;;;
3;12/10/1982;light green;-0.000223089;;;;;;
3;13/10/1982;light green;0.016884887;;;;;;
3;14/10/1982;light green;-0.015653568;;;;;;
3;15/10/1982;light green;-0.007431076;;;;;;
3;18/10/1982;light green;0.023657919;;;;;;
3;19/10/1982;light green;-0.001097008;;;;;;
3;20/10/1982;light green;0.019402503;;;;;;
3;21/10/1982;light green;-0.001220988;;;;;;
3;22/10/1982;light green;-0.001653932;;;;;;
3;25/10/1982;light green;-0.039688788;;;;;;
3;26/10/1982;light green;0.008700783;;;;;;
3;27/10/1982;light green;0.006023183;;;;;;
3;28/10/1982;light green;-0.012565578;;;;;;
3;29/10/1982;light green;0.000973163;;;;;;
3;1/11/1982;light green;0.013087047;;;;;;
3;2/11/1982;light green;0.014911082;;;;;;
3;3/11/1982;light green;0.039130041;;;;;;
3;4/11/1982;light green;-0.007139281;;;;;;
3;5/11/1982;light green;0.00218539;;;;;;
3;8/11/1982;light green;-0.012099052;;;;;;
3;9/11/1982;light green;0.018370848;;;;;;
3;10/11/1982;light green;-0.013005178;;;;;;
3;11/11/1982;light green;0.004179628;;;;;;
3;12/11/1982;light green;-0.015661384;;;;;;
3;15/11/1982;light green;-0.017917294;;;;;;
3;16/11/1982;light green;-0.011749256;;;;;;
3;17/11/1982;light green;0.018534888;;;;;;
3;18/11/1982;light green;0.002972549;;;;;;
3;19/11/1982;light green;-0.009541651;;;;;;
3;22/11/1982;light green;-0.020434995;;;;;;
3;23/11/1982;light green;-0.00961115;;;;;;
3;24/11/1982;light green;0.007146711;;;;;;
3;26/11/1982;light green;0.007469375;;;;;;
3;29/11/1982;light green;-0.005041578;;;;;;
3;30/11/1982;light green;0.032265291;;;;;;
3;1/12/1982;light green;0.001371561;;;;;;
3;2/12/1982;light green;0.000720921;;;;;;
3;3/12/1982;light green;-0.0009365;;;;;;
3;6/12/1982;light green;0.022207815;;;;;;
3;7/12/1982;light green;0.006700972;;;;;;
3;8/12/1982;light green;-0.006306011;;;;;;
3;9/12/1982;light green;-0.01283322;;;;;;
3;10/12/1982;light green;-0.003071376;;;;;;
3;13/12/1982;light green;0.002722573;;;;;;
