month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Nov-03,89.2,85.9,expansion,0.011337868,0.033603708,0.053128689,1,1,1,dark green,0.001877199000000003
Dic-03,90.1,85.8,expansion,0.010089686,0.03207331,0.055035129,1,1,1,dark green,0.0019064400000000023
Ene-04,91.0,85.7,expansion,0.009988901,0.031746032,0.061843641,1,1,1,dark green,0.006808511999999996
Feb-04,91.9,86.0,expansion,0.00989011,0.030269058,0.064889919,1,1,1,dark green,0.0030462780000000064
Mar-04,93.2,86.4,expansion,0.014145811,0.034406215,0.067583047,1,1,1,dark green,0.002693127999999989
Abr-04,93.4,86.5,expansion,0.002145923,0.026373626,0.058956916,1,1,1,dark green,-0.008626130999999995
May-04,94.3,86.9,expansion,0.009635974,0.026115343,0.057174888,1,1,1,dark green,-0.001782027999999998
Jun-04,94.9,86.8,expansion,0.006362672,0.018240343,0.05327414,1,1,1,dark green,-0.0039007480000000025
Jul-04,95.5,87.1,expansion,0.006322445,0.02248394,0.049450549,1,1,1,dark green,-0.0038235909999999942
Ago-04,96.0,87.3,expansion,0.005235602,0.018027572,0.044613711,1,1,1,dark green,-0.004836838000000003
Set-04,96.8,87.5,expansion,0.008333333,0.020021075,0.038626609,1,1,1,dark green,-0.005987102000000001
Oct-04,97.1,87.8,expansion,0.003099174,0.016753927,0.039614561,1,1,1,dark green,0.0009879520000000003
Nov-04,97.9,87.8,expansion,0.008238929,0.019791667,0.038176034,1,1,1,dark green,-0.001438527000000002
Dic-04,99.0,89.2,expansion,0.011235955,0.022727273,0.043203372,1,1,1,dark green,0.005027337999999999
Ene-05,99.6,88.4,expansion,0.006060606,0.025746653,0.042931937,1,1,1,dark green,-0.0002714349999999935
Feb-05,100.1,88.6,expansion,0.00502008,0.02247191,0.042708333,1,1,1,dark green,-0.00022360400000000225
Mar-05,99.9,88.6,expansion,-0.001998002,0.009090909,0.032024793,0,1,1,dark green,-0.010683539999999998
Abr-05,100.4,89.1,expansion,0.005005005,0.008032129,0.033985582,1,1,1,dark green,0.0019607889999999975
May-05,100.3,89.2,expansion,-0.000996016,0.001998002,0.024514811,0,1,1,dark green,-0.009470771
Jun-05,101.1,89.6,expansion,0.007976072,0.012012012,0.021212121,1,1,1,dark green,-0.0033026900000000005
Jul-05,101.2,89.7,expansion,0.00098912,0.007968127,0.016064257,1,1,1,dark green,-0.005147864000000002
Ago-05,101.9,89.8,expansion,0.006916996,0.015952144,0.017982018,1,1,1,dark green,0.0019177610000000005
Set-05,101.6,89.3,expansion,-0.002944063,0.004945598,0.017017017,0,1,1,dark green,-0.000965001
Oct-05,101.8,89.8,expansion,0.001968504,0.005928854,0.013944223,1,1,1,dark green,-0.0030727939999999985
Nov-05,102.3,90.4,expansion,0.004911591,0.003925417,0.019940179,1,1,1,dark green,0.0059959559999999985
Dic-05,102.4,90.8,expansion,0.000977517,0.007874016,0.012858556,1,1,1,dark green,-0.007081622999999999
Ene-06,103.1,91.2,expansion,0.006835937,0.012770138,0.018774704,1,1,1,dark green,0.0059161479999999995
Feb-06,103.2,91.6,expansion,0.000969932,0.008797654,0.012757605,1,1,1,dark green,-0.006017099
Mar-06,103.5,91.8,expansion,0.002906977,0.010742187,0.018700787,1,1,1,dark green,0.005943182
Abr-06,103.0,91.8,expansion,-0.004830918,-0.000969932,0.011787819,0,0,1,dark green,-0.006912968
May-06,102.6,91.9,expansion,-0.003883495,-0.005813953,0.002932551,0,0,1,orange,-0.008855268
Jun-06,102.3,91.9,expansion,-0.002923977,-0.011594203,-0.000976563,0,0,0,orange,-0.003909114
Jul-06,102.0,91.9,expansion,-0.002932551,-0.009708738,-0.010669253,0,0,0,orange,-0.00969269
Ago-06,101.7,92.0,expansion,-0.002941176,-0.00877193,-0.014534884,0,0,0,orange,-0.0038656309999999996
Set-06,101.6,92.2,expansion,-0.000983284,-0.00684262,-0.018357488,0,0,0,orange,-0.003822604000000002
Oct-06,101.5,92.4,expansion,-0.000984252,-0.004901961,-0.014563107,0,0,0,orange,0.003794381000000001
Nov-06,101.3,92.6,expansion,-0.001970443,-0.003933137,-0.012670565,0,0,0,orange,0.0018925420000000005
Dic-06,101.6,93.2,expansion,0.0029615,0.0,-0.00684262,1,0,0,orange,0.005827945
Ene-07,101.3,93.1,expansion,-0.002952756,-0.001970443,-0.006862745,0,0,0,orange,-2.0125000000000177e-05
Feb-07,101.2,93.5,expansion,-0.000987167,-0.000987167,-0.004916421,0,0,0,orange,0.0019463240000000001
Mar-07,101.6,93.7,expansion,0.003952569,0.0,0.0,1,0,0,orange,0.004916421
Abr-07,101.2,93.9,expansion,-0.003937008,-0.000987167,-0.002955665,0,0,0,orange,-0.002955665
May-07,101.2,94.1,expansion,0.0,0.0,-0.000987167,0,0,0,orange,0.001968498
Jun-07,100.9,94.1,expansion,-0.002964427,-0.006889764,-0.006889764,0,0,0,orange,-0.005902597
Jul-07,100.7,94.0,expansion,-0.001982161,-0.004940711,-0.005923001,0,0,0,orange,0.0009667629999999998
Ago-07,100.2,94.2,expansion,-0.004965243,-0.009881423,-0.009881423,0,0,0,orange,-0.0039584220000000005
Set-07,99.6,94.3,expansion,-0.005988024,-0.012884044,-0.019685039,0,0,0,orange,-0.009803616000000001
Oct-07,99.0,94.3,expansion,-0.006024096,-0.016881827,-0.02173913,0,0,0,orange,-0.0020540909999999975
Nov-07,98.1,94.4,expansion,-0.009090909,-0.020958084,-0.030632411,0,0,0,red,-0.008893281
Dic-07,97.2,94.3,expansion,-0.009174312,-0.024096386,-0.03666997,0,0,0,red,-0.006037559000000005
Ene-08,96.0,94.4,contraction,-0.012345679,-0.03030303,-0.046673287,0,0,0,red,-0.010003316999999998
Feb-08,94.8,94.1,contraction,-0.0125,-0.033639144,-0.053892216,0,0,0,red,-0.007218928999999999
Mar-08,93.4,93.8,contraction,-0.014767932,-0.03909465,-0.062248996,0,0,0,red,-0.008356780000000001
Abr-08,92.8,93.6,contraction,-0.006423983,-0.033333333,-0.062626263,0,0,0,red,-0.0003772670000000006
May-08,91.9,93.3,contraction,-0.009698276,-0.030590717,-0.063200815,0,0,0,red,-0.0005745519999999921
Jun-08,91.5,93.0,contraction,-0.004352557,-0.020342612,-0.058641975,0,0,0,red,0.0045588399999999946
Jul-08,89.4,92.5,contraction,-0.02295082,-0.036637931,-0.06875,0,0,0,red,-0.010108025000000007
Ago-08,88.3,92.2,contraction,-0.012304251,-0.039173014,-0.068565401,0,0,0,red,0.0001845990000000075
Set-08,86.6,90.9,contraction,-0.019252548,-0.053551913,-0.072805139,0,0,0,red,-0.004239738000000007
Oct-08,83.7,91.0,contraction,-0.033487298,-0.063758389,-0.098060345,0,0,0,red,-0.02525520599999999
Nov-08,81.5,90.3,contraction,-0.026284349,-0.077010193,-0.113166485,0,0,0,red,-0.015106140000000004
Dic-08,79.2,89.2,contraction,-0.028220859,-0.085450346,-0.13442623,0,0,0,red,-0.02125974500000001
Ene-09,77.7,87.8,contraction,-0.018939394,-0.071684588,-0.130872483,0,0,0,red,0.003553746999999996
Feb-09,76.7,87.2,contraction,-0.012870013,-0.058895706,-0.131370328,0,0,0,red,-0.0004978449999999968
Mar-09,75.4,86.3,contraction,-0.016949153,-0.047979798,-0.129330254,0,0,0,red,0.002040074000000003
Abr-09,75.5,85.8,contraction,0.00132626,-0.028314028,-0.097968937,1,0,0,red,0.031361317
May-09,75.9,85.6,contraction,0.005298013,-0.010430248,-0.068711656,1,0,0,red,0.02925728100000001
Jun-09,76.4,85.2,contraction,0.006587615,0.013262599,-0.035353535,1,1,0,light green,0.033358121
Jul-09,76.8,85.4,expansion,0.005235602,0.017218543,-0.011583012,1,1,0,light green,0.023770522999999998
Ago-09,77.5,85.5,expansion,0.009114583,0.021080369,0.010430248,1,1,1,light green,0.02201326
Set-09,78.2,85.6,expansion,0.009032258,0.023560209,0.037135279,1,1,1,light green,0.026705031
Oct-09,78.5,85.6,expansion,0.003836317,0.022135417,0.039735099,1,1,1,light green,0.0025998200000000027
Nov-09,79.3,85.9,expansion,0.010191083,0.023225806,0.044795784,1,1,1,light green,0.005060684999999995
Dic-09,80.1,86.0,expansion,0.010088272,0.024296675,0.048429319,1,1,1,light green,0.0036335350000000002
Ene-10,80.6,86.1,expansion,0.006242197,0.026751592,0.049479167,1,1,1,light green,0.001049847999999999
Feb-10,80.6,86.2,expansion,0.0,0.016393443,0.04,0,1,1,light green,-0.009479166999999997
Mar-10,82.0,86.7,expansion,0.017369727,0.02372035,0.04859335,1,1,1,light green,0.00859335
Abr-10,82.3,87.2,expansion,0.003658537,0.021091811,0.048407643,1,1,1,dark green,-0.00018570700000000023
May-10,82.6,87.8,expansion,0.0036452,0.024813896,0.041614124,1,1,1,dark green,-0.006793518999999998
Jun-10,82.7,88.0,expansion,0.001210654,0.008536585,0.032459426,1,1,1,dark green,-0.009154698000000003
Jul-10,82.7,88.2,expansion,0.0,0.004860267,0.026054591,0,1,1,dark green,-0.006404835000000001
Ago-10,83.0,88.4,expansion,0.00362757,0.004842615,0.029776675,1,1,1,dark green,0.0037220840000000005
Set-10,83.4,88.4,expansion,0.004819277,0.008464329,0.017073171,1,1,1,dark green,-0.012703503999999997
Oct-10,83.3,88.6,expansion,-0.001199041,0.007255139,0.012150668,0,1,1,dark green,-0.004922503000000002
Nov-10,84.1,88.7,expansion,0.009603842,0.013253012,0.018159806,1,1,1,dark green,0.006009138000000001
Dic-10,85.0,89.1,expansion,0.010701546,0.019184652,0.027811366,1,1,1,dark green,0.00965156
Ene-11,85.2,89.7,expansion,0.002352941,0.022809124,0.030229746,1,1,1,dark green,0.0024183799999999978
Feb-11,85.8,89.6,expansion,0.007042254,0.020214031,0.03373494,1,1,1,dark green,0.0035051939999999997
Mar-11,86.7,89.9,expansion,0.01048951,0.02,0.039568345,1,1,1,dark green,0.005833405
Abr-11,86.7,89.8,expansion,0.0,0.017605634,0.040816327,0,1,1,dark green,0.0012479820000000016
May-11,87.4,89.7,expansion,0.008073818,0.018648019,0.039239001,1,1,1,dark green,-0.001577325999999997
Jun-11,87.4,90.1,expansion,0.0,0.008073818,0.028235294,0,1,1,dark green,-0.011003707000000001
Jul-11,87.8,90.5,expansion,0.004576659,0.012687428,0.030516432,1,1,1,dark green,0.0022811379999999985
Ago-11,87.2,90.7,expansion,-0.006833713,-0.00228833,0.016317016,0,0,1,dark green,-0.014199416
Set-11,86.7,90.6,expansion,-0.005733945,-0.008009153,0.0,0,0,0,orange,-0.016317016
Oct-11,87.2,91.0,expansion,0.005767013,-0.006833713,0.005767013,1,0,1,orange,0.005767013
Nov-11,87.2,90.9,expansion,0.0,0.0,-0.00228833,0,0,0,orange,-0.008055343
Dic-11,87.7,91.5,expansion,0.005733945,0.011534025,0.003432494,1,1,1,dark green,0.005720823999999999
Ene-12,88.0,92.0,expansion,0.003420753,0.009174312,0.002277904,1,1,1,dark green,-0.00115459
Feb-12,88.6,92.4,expansion,0.006818182,0.016055046,0.016055046,1,1,1,dark green,0.013777142
Mar-12,89.1,92.5,expansion,0.005643341,0.015963512,0.027681661,1,1,1,dark green,0.011626615
Abr-12,88.9,92.8,expansion,-0.002244669,0.010227273,0.019495413,0,1,1,dark green,-0.008186248
May-12,89.1,92.9,expansion,0.002249719,0.005643341,0.021788991,1,1,1,dark green,0.002293578000000001
Jun-12,88.7,92.9,expansion,-0.004489338,-0.004489338,0.011402509,0,0,1,dark green,-0.010386482
Jul-12,88.8,92.8,expansion,0.001127396,-0.001124859,0.009090909,1,0,1,dark green,-0.0023116000000000005
Ago-12,88.5,92.7,expansion,-0.003378378,-0.006734007,-0.001128668,0,0,0,dark green,-0.010219576999999999
Set-12,88.9,93.0,expansion,0.004519774,0.002254791,-0.002244669,1,1,0,dark green,-0.001116001
Oct-12,89.0,93.3,expansion,0.001124859,0.002252252,0.001124859,1,1,1,dark green,0.003369528
Nov-12,89.0,94.1,expansion,0.0,0.005649718,-0.001122334,0,1,0,dark green,-0.0022471929999999998
Dic-12,89.1,95.1,expansion,0.001123596,0.002249719,0.004509583,1,1,1,dark green,0.005631917
Ene-13,89.7,93.4,expansion,0.006734007,0.007865169,0.010135135,1,1,1,dark green,0.005625552
Feb-13,90.0,93.5,expansion,0.003344482,0.011235955,0.016949153,1,1,1,dark green,0.0068140180000000015
Mar-13,89.8,93.7,expansion,-0.002222222,0.007856341,0.010123735,0,1,1,dark green,-0.0068254180000000015
Abr-13,90.3,93.8,expansion,0.005567929,0.006688963,0.014606742,1,1,1,dark green,0.004483007000000001
