month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Jul-20,107.1,101.3,expansion,0.017094017,0.057255676,-0.048,1,1,0,light green,0.011821429000000001
Ago-20,108.0,102.3,expansion,0.008403361,0.048543689,-0.039145907,1,1,0,light green,0.008854093
Set-20,108.6,102.9,expansion,0.005555556,0.031339031,0.014953271,1,1,1,light green,0.054099178
Oct-20,109.3,103.9,expansion,0.006445672,0.02054155,0.078973346,1,1,1,light green,0.064020075
Nov-20,110.1,103.9,expansion,0.007319305,0.019444444,0.068932039,1,1,1,dark green,-0.010041307
Dic-20,110.8,104.1,expansion,0.006357856,0.020257827,0.052231719,1,1,1,dark green,-0.016700319999999998
Ene-21,111.5,104.8,expansion,0.00631769,0.020128088,0.0410831,1,1,1,dark green,-0.011148619000000005
Feb-21,111.4,103.8,expansion,-0.000896861,0.011807448,0.031481481,0,1,1,dark green,-0.009601618999999999
Mar-21,112.6,105.4,expansion,0.010771993,0.016245487,0.036832413,1,1,1,dark green,0.005350932000000003
Abr-21,113.8,105.6,expansion,0.010657194,0.020627803,0.041171089,1,1,1,dark green,0.004338676
May-21,114.8,105.6,expansion,0.008787346,0.030520646,0.042688465,1,1,1,dark green,0.0015173760000000008
Jun-21,115.5,106.0,expansion,0.006097561,0.025754885,0.042418773,1,1,1,dark green,-0.00026969200000000193
Jul-21,116.6,106.4,expansion,0.00952381,0.024604569,0.04573991,1,1,1,dark green,0.0033211370000000018
Ago-21,117.4,106.4,expansion,0.006861063,0.022648084,0.053859964,1,1,1,dark green,0.008120054000000002
Set-21,117.6,106.4,expansion,0.001703578,0.018181818,0.044404973,1,1,1,dark green,-0.009454991000000003
Oct-21,118.1,107.1,expansion,0.004251701,0.012864494,0.037785589,1,1,1,dark green,-0.006619383999999999
Nov-21,118.8,107.4,expansion,0.00592718,0.011925043,0.034843206,1,1,1,dark green,-0.002942383
Dic-21,119.3,107.3,expansion,0.004208754,0.014455782,0.032900433,1,1,1,dark green,-0.0019427730000000018
Ene-22,118.5,107.8,expansion,-0.006705784,0.00338696,0.016295026,0,1,1,dark green,-0.016605407
Feb-22,119.4,108.1,expansion,0.007594937,0.005050505,0.017035775,1,1,1,dark green,0.0007407489999999989
Mar-22,119.3,108.1,expansion,-0.000837521,0.0,0.014455782,0,0,1,dark green,-0.002579992999999999
Abr-22,118.8,108.6,expansion,-0.004191115,0.002531646,0.00592718,0,1,1,dark green,-0.008528602
May-22,118.3,108.8,expansion,-0.004208754,-0.00921273,-0.004208754,0,0,0,dark green,-0.010135934
Jun-22,117.1,108.6,expansion,-0.010143702,-0.018440905,-0.018440905,0,0,0,orange,-0.014232151
