Date,stage,d_GSPC,d_IXIC,d_DJI,d_IWM
19/04/2001,red,0.01254273,0.049388275,0.007336203,0.011140814
20/04/2001,red,-0.008542751,-0.008583309,-0.010647413,-0.01165378
23/04/2001,red,-0.014980125,-0.048113787,-0.004500928,-0.018115292
24/04/2001,red,-0.012161467,-0.020739895,-0.007395454,0.007641682
25/04/2001,red,0.015940891,0.021417163,0.016343486,0.021668686
26/04/2001,red,0.004695845,-0.012098283,0.006319825,0.014315999
27/04/2001,red,0.015009906,0.020050286,0.011007888,0.013068198
30/04/2001,red,-0.002865079,0.019540613,-0.006945395,0.00103236
01/05/2001,red,0.013589855,0.024571882,0.015218498,0.012370776
02/05/2001,red,0.000781808,0.024148668,-0.001987472,-0.002545607
03/05/2001,red,-0.014872693,-0.033504523,-0.00735788,-0.012353479
04/05/2001,red,0.014440428,0.021121088,0.014318315,0.01405837
07/05/2001,red,-0.002447458,-0.00819517,-0.001467442,-0.006115725
08/05/2001,red,-0.001828287,0.011593807,-0.00472422,0.005128073
09/05/2001,red,-0.00448772,-0.019165323,-0.001518747,-0.006122477
10/05/2001,red,-0.000286717,-0.012876468,0.003999267,0.001026854
11/05/2001,red,-0.00757661,-0.010066502,-0.008169318,-0.005949105
14/05/2001,red,0.002609038,-0.012104796,0.00517687,-0.000206512
15/05/2001,red,0.000416277,0.001758068,-0.000400866,0.009804307
16/05/2001,red,0.028452787,0.038770922,0.031541538,0.01921286
17/05/2001,red,0.002723757,0.012573619,0.002911947,0.010328061
18/05/2001,red,0.002693052,0.002370424,0.004725943,0.003870626
21/05/2001,red,0.016153748,0.048529347,0.003201249,0.017300843
22/05/2001,red,-0.002627873,0.003582601,-0.007115916,0.004859256
23/05/2001,red,-0.015526399,-0.030412566,-0.013478478,-0.023210841
24/05/2001,red,0.003196148,0.017178687,0.001522681,0.010395863
25/05/2001,red,-0.011815947,-0.01358007,-0.010523771,-0.007349497
29/05/2001,red,-0.007794067,-0.033535754,0.003068459,-0.012832884
30/05/2001,red,-0.015655515,-0.041847099,-0.015082697,-0.013000312
31/05/2001,red,0.006201518,0.012468213,0.003614649,0.004052705
01/06/2001,red,0.003862097,0.018455407,0.00719118,0.011806289
04/06/2001,red,0.005108348,0.003019387,0.006470129,0.013064915
05/06/2001,red,0.01299016,0.036054038,0.010334955,0.013979146
06/06/2001,red,-0.01054864,-0.007131763,-0.009448919,-0.006310392
07/06/2001,red,0.00545651,0.020863685,0.001851812,0.004200822
08/06/2001,red,-0.009397319,-0.021598897,-0.010255423,-0.005815037
11/06/2001,red,-0.008355953,-0.020008156,-0.005002292,-0.013247792
12/06/2001,red,0.001163881,-0.000382387,0.002407052,0.002486025
13/06/2001,red,-0.011346897,-0.022253987,-0.007011061,-0.001388391
14/06/2001,red,-0.017501596,-0.036570407,-0.016693946,-0.02493571
15/06/2001,red,-0.004516883,-0.007651349,-0.006219778,0.006112784
18/06/2001,red,-0.004883174,-0.01962111,0.002046401,-0.007594632
19/06/2001,red,0.003434127,0.002026535,-0.00457569,-0.003061326
20/06/2001,red,0.008708753,0.019361033,0.004780762,0.011770622
21/06/2001,red,0.011364213,0.013548384,0.006395933,0.001416693
22/06/2001,red,-0.009450028,-0.011618666,-0.010343948,-0.018083132
25/06/2001,red,-0.00550863,0.007877844,-0.00946478,-0.006995885
26/06/2001,red,-0.001509902,0.006704471,-0.003021572,0.015333922
27/06/2001,red,-0.004676406,0.004901567,-0.003594242,0.009694079
28/06/2001,red,0.012493089,0.024446423,0.012589567,0.012632231
29/06/2001,red,-0.001484216,0.0165047,-0.006039022,0.016965866
02/07/2001,red,0.010078543,-0.005470886,0.008695092,-0.022570855
03/07/2001,red,-0.001835517,-0.003685879,-0.002134225,-0.006024095
05/07/2001,red,-0.012321246,-0.028349188,-0.008632017,-0.01313131
