Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,13/05/1976,dark green,-0.005935515,,,,,,
1,14/05/1976,dark green,-0.008026697,,,,,,
1,17/05/1976,dark green,-0.002466943,,,,,,
1,18/05/1976,dark green,0.001681727,,,,,,
1,19/05/1976,dark green,-0.000790063,,,,,,
1,20/05/1976,dark green,0.008104365,,,,,,
1,21/05/1976,dark green,-0.007254881,,,,,,
1,24/05/1976,dark green,-0.01797353,,,,,,
1,25/05/1976,dark green,0.00050277,,,,,,
1,26/05/1976,dark green,-0.001507705,,,,,,
1,27/05/1976,dark green,0.000402667,,,,,,
1,28/05/1976,dark green,0.00804994,,,,,,
1,01/06/1976,dark green,-0.003294089,,,,,,
1,02/06/1976,dark green,0.003705586,,,,,,
1,03/06/1976,dark green,-0.000898063,,,,,,
1,04/06/1976,dark green,-0.009787235,,,,,,
1,07/06/1976,dark green,-0.005244622,,,,,,
1,08/06/1976,dark green,0.001723672,,,,,,
1,09/06/1976,dark green,-0.00060734,,,,,,
1,10/06/1976,dark green,0.008304636,,,,,,
1,11/06/1976,dark green,0.013660111,,,,,,
1,14/06/1976,dark green,0.010206091,,,,,,
1,15/06/1976,dark green,-0.004806256,,,,,,
1,16/06/1976,dark green,0.005420885,,,,,,
1,17/06/1976,dark green,0.015684722,,,,,,
1,18/06/1976,dark green,0.001447751,,,,,,
1,21/06/1976,dark green,0.005011533,,,,,,
1,22/06/1976,dark green,-0.007767526,,,,,,
1,23/06/1976,dark green,-0.002126232,,,,,,
1,24/06/1976,dark green,0.005230033,,,,,,
1,25/06/1976,dark green,-0.000674436,,,,,,
1,28/06/1976,dark green,-0.002795998,,,,,,
1,29/06/1976,dark green,0.004157404,,,,,,
1,30/06/1976,dark green,0.004043888,,,,,,
1,01/07/1976,dark green,-0.006616825,,,,,,
1,02/07/1976,dark green,0.005019831,,,,,,
1,06/07/1976,dark green,-0.005474975,,,,,,
1,07/07/1976,dark green,0.002800859,,,,,,
1,08/07/1976,dark green,0.001444685,,,,,,
1,09/07/1976,dark green,0.009617234,,,,,,
1,12/07/1976,dark green,0.008763556,,,,,,
1,13/07/1976,dark green,-0.002171891,,,,,,
1,14/07/1976,dark green,0.002649746,,,,,,
1,15/07/1976,dark green,-0.007078811,,,,,,
1,16/07/1976,dark green,-0.004942934,,,,,,
1,19/07/1976,dark green,-0.003725634,,,,,,
1,20/07/1976,dark green,-0.005465526,,,,,,
1,21/07/1976,dark green,0.00096412,,,,,,
1,22/07/1976,dark green,0.001059532,,,,,,
1,23/07/1976,dark green,0.001250816,,,,,,
1,26/07/1976,dark green,9.61186E-05,,,,,,
1,27/07/1976,dark green,-0.005669226,,,,,,
1,28/07/1976,dark green,-0.004155395,,,,,,
1,29/07/1976,dark green,-0.00116451,,,,,,
1,30/07/1976,dark green,0.004954844,,,,,,
1,02/08/1976,dark green,-0.00241686,,,,,,
1,03/08/1976,dark green,0.009206289,,,,,,
1,04/08/1976,dark green,0.002784722,,,,,,
1,05/08/1976,dark green,-0.005553977,,,,,,
1,06/08/1976,dark green,-0.000577733,,,,,,
1,09/08/1976,dark green,-0.002890481,,,,,,
1,10/08/1976,dark green,0.008889804,,,,,,
1,11/08/1976,dark green,-0.003352228,,,,,,
1,12/08/1976,dark green,0.001537609,,,,,,
1,13/08/1976,dark green,0.000287841,,,,,,
1,16/08/1976,dark green,0.001726622,,,,,,
1,17/08/1976,dark green,0.00354307,,,,,,
1,18/08/1976,dark green,-0.002290129,,,,,,
1,19/08/1976,dark green,-0.011189731,,,,,,
1,20/08/1976,dark green,-0.009865526,,,,,,
1,23/08/1976,dark green,-0.004005115,,,,,,
1,24/08/1976,dark green,-0.006767384,,,,,,
1,25/08/1976,dark green,0.007504712,,,,,,
1,26/08/1976,dark green,-0.006958729,,,,,,
1,27/08/1976,dark green,0.001579192,,,,,,
1,30/08/1976,dark green,0.005813917,,,,,,
1,31/08/1976,dark green,0.008229686,,,,,,
1,01/09/1976,dark green,0.011174753,,,,,,
1,02/09/1976,dark green,-0.001345372,,,,,,
1,03/09/1976,dark green,0.003656706,,,,,,
1,07/09/1976,dark green,0.006999,,,,,,
1,08/09/1976,dark green,-0.000856864,,,,,,
1,09/09/1976,dark green,-0.005145806,,,,,,
1,10/09/1976,dark green,0.002394636,,,,,,
1,13/09/1976,dark green,-0.003440044,,,,,,
