Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
06/10/2010,dark green,-0.000672004,0.000118179,0.006451495,0.012565891,0.006259959,0.000406997,0.010900328
07/10/2010,dark green,-0.001646518,0.000829541,0.001001815,-0.008336624,-0.010924835,-0.010170848,0
08/10/2010,dark green,0.006122277,0,0.000399984,-0.004393602,0.009894981,0.033292216,-0.001797816
11/10/2010,dark green,0.000145837,0.000118763,0.000999845,0.000191629,0.004784973,-0.0047733,0.002161087
12/10/2010,dark green,0.003818757,-0.000710504,-0.002896919,-0.009881054,-0.002494418,0.004796193,-0.002694647
13/10/2010,dark green,0.00712102,0.000118833,0,-0.001550226,0.015989698,0.004773299,-0.008647679
14/10/2010,dark green,-0.003641386,-0.000474082,-0.005711804,-0.014944212,0.005071923,-0.001583593,0.000363145
15/10/2010,dark green,0.002027485,0.000355432,-0.004333845,-0.0122153,-0.007940685,-0.011102265,-0.014713257
18/10/2010,dark green,0.007243745,0.000237368,0.004757158,0.008077933,0.004488376,0.010024114,-0.001660003
19/10/2010,dark green,-0.015877251,0.000473529,0.003425446,0.006035247,-0.0310545,-0.029376749,0.000923529
20/10/2010,dark green,0.010524076,0.000117754,-0.000602595,0.002163193,0.009299875,0.02372188,0.011439123
21/10/2010,dark green,0.001773909,0.000118337,-0.00552526,-0.011872839,-0.01408777,-0.012385247,0.000729861
22/10/2010,dark green,0.002389258,-0.00023605,0.000303297,0.006752522,0.002008145,0.008495298,0
25/10/2010,dark green,0.002146972,0.000236105,-0.000303205,0.002860261,0.008633396,0.005214547,-0.002187311
26/10/2010,dark green,1.68857E-05,-0.000946386,-0.006667475,-0.015442363,0.000229261,0.005187575,-0.006210911
27/10/2010,dark green,-0.002690584,-0.000474039,-0.005796999,-0.008790835,-0.010391202,-0.003175909,-0.001287316
28/10/2010,dark green,0.001124849,0.001303504,0.0058308,0.00272145,0.013279811,0.005177246,0.001840598
29/10/2010,dark green,-0.000439287,0.000237271,0.004474659,0.009347352,0.010515007,-0.002377155,-0.003674206
01/11/2010,dark green,0.000946533,0.000438638,-0.001674437,-0.004305436,-0.005278215,0.006354185,0.003629828
02/11/2010,dark green,0.007759284,-0.00059218,0.00335449,0.013143454,0.004320856,0.009076544,0.006087781
03/11/2010,dark green,0.003678054,0.00035518,0.003242216,-0.020400768,-0.006943906,0.004693029,-0.003117611
04/11/2010,dark green,0.019282863,0.000237266,0.008079678,0.007784802,0.033898239,0.023744636,0.007359095
05/11/2010,dark green,0.003922753,-0.000828794,-0.004207358,-0.017153105,0.002573007,0.004182542,-0.006939562
08/11/2010,dark green,-0.002120958,-0.000473819,0.000300853,0.004490461,0.01026539,0.002650484,-0.003493633
09/11/2010,dark green,-0.0080523,-0.001303918,-0.008447918,-0.022048362,-0.015894923,-0.006797588,-0.006090039
10/11/2010,dark green,0.004376081,0.000593029,0.003752938,0.001350456,0.012169107,0.010646354,-0.015595845
11/11/2010,dark green,-0.004242127,-0.001542037,-0.001111878,-0.000518469,0.003060319,-0.008276816,0
12/11/2010,dark green,-0.011808492,0,-0.008295101,-0.00539808,-0.028839178,-0.041729915,-0.001132168
15/11/2010,dark green,-0.001217436,-0.00059479,-0.012853134,-0.020875045,-0.00949962,0.001583438,-0.016049117
16/11/2010,dark green,-0.016205413,0.000475895,0.007440599,0.024837793,-0.010949985,-0.029644202,0.015543445
17/11/2010,dark green,0.000212163,0.000594561,-0.00287233,-0.005512871,-0.00450482,-0.007739309,-0.002267337
18/11/2010,dark green,0.015357313,0.000118921,-0.002366106,0.004078379,0.013115442,0.027093563,0.001894188
19/11/2010,dark green,0.002540373,-0.000593938,0.002062287,0.00614603,0.00083277,-0.014388422,0.002834574
22/11/2010,dark green,-0.001575366,0.000950826,0.005350485,0.004245337,0.009682291,0.003244087,0
23/11/2010,dark green,-0.014284033,0.000593029,0.002047283,0.004948417,0.006967396,-0.002425198,0.015081175
24/11/2010,dark green,0.014922968,-0.001779626,-0.010725411,-0.017850065,-0.001711264,0.018638543,-0.015784883
26/11/2010,dark green,-0.007468563,0.000713439,0.004336872,0.013892095,-0.007974304,0.004773299,0.007358099
29/11/2010,dark green,-0.001378858,-0.000119121,0.002159557,0.00855065,0.003004988,0.001979394,0.00430781
30/11/2010,dark green,-0.006070217,0.000712915,0.001743478,0.005209156,0.014306073,-0.009482477,0.004103304
01/12/2010,dark green,0.021616955,-0.001497341,-0.013150543,-0.022229186,-0.000295328,0.029517445,-0.010096535
02/12/2010,dark green,0.012818563,0,-0.00249651,-0.002606587,-0.00132965,0.008523817,-0.002073852
03/12/2010,dark green,0.002603237,0.001308621,0.000104748,-0.007842543,0.021227888,0.012677701,-0.00283413
06/12/2010,dark green,-0.001298239,0.000595065,0.006256141,0.014121937,0.007532362,-0.001138151,0.00397855
07/12/2010,dark green,0.00051508,-0.001781743,-0.016580263,-0.021407052,-0.018762135,-0.006836314,-0.012832646
08/12/2010,dark green,0.00370176,-0.001546195,-0.008534899,-0.009663701,-0.012527522,0.007648181,-0.010322447
09/12/2010,dark green,0.003842748,-0.000119899,0.002124629,0.00493232,0.004303003,-0.00265652,0.008305502
10/12/2010,dark green,0.006001642,-0.000356741,-0.008484094,-0.006081809,0.00029555,-0.001522054,-0.00172372
13/12/2010,dark green,4.83207E-05,0.00059598,0.00320891,0.003757045,0.004726382,0.009908511,0.003645888
14/12/2010,dark green,0.000910956,-0.00047674,-0.010554857,-0.014545268,0.000955455,-0.002641483,-0.01128152
15/12/2010,dark green,-0.005122453,-0.000357825,-0.004095203,-0.013023465,-0.010867939,-0.002648479,-0.000966368
16/12/2010,dark green,0.006185095,0.000238969,0.005950856,0.006927139,-0.00660727,-0.003414304,-0.004065042
17/12/2010,dark green,0.000836804,0.000834792,0.008604852,0.018238278,0.002914575,0.007613244,0.015353976
20/12/2010,dark green,0.002548353,0.000238013,-0.000106213,-0.001072421,0.006780952,0.009066851,-0.001530737
21/12/2010,dark green,0.006030103,-0.000237957,0.002132811,0.00697882,0.001554339,0.006364666,0.001916531
22/12/2010,dark green,0.003379555,-0.000238613,-0.002766162,-0.007143832,-0.001995301,0.005208353,0.000191357
23/12/2010,dark green,-0.001644328,-0.001310834,-0.0035228,-0.002041134,-0.002887815,0.003700997,-0.002677779
27/12/2010,dark green,0.000612697,0.000596907,0.003855962,0.008932448,0.002673404,-0.001843711,-0.002877624
28/12/2010,dark green,0.000771324,-0.001335966,-0.010504664,-0.019585543,0.016293859,0.010713003,0.002823094
29/12/2010,dark green,0.001009145,0.002389195,0.011243447,0.016919083,0.003570948,0.000365494,0.011377453
30/12/2010,dark green,-0.001508219,-0.000357835,-0.002032201,-0.000750401,-0.00493797,-0.012056946,-0.00190755
31/12/2010,dark green,-0.000190789,0.001191977,0.005035179,0.011064639,0.012333083,0.018860826,0.01203465
03/01/2011,dark green,0.011314828,-0.000237493,-0.003090692,-0.007544652,-0.00519032,0.004355815,0
04/01/2011,dark green,-0.001313062,-0.000238847,0.002352133,0.001178145,-0.023550725,-0.013371959,-0.005851243
05/01/2011,dark green,0.005007171,-0.001786837,-0.01077347,-0.022027105,-0.002820073,0.010622675,-0.012150194
06/01/2011,dark green,-0.002122958,0.001074142,0.005175809,0.00437336,-0.004018704,-0.013410592,0.008648001
07/01/2011,dark green,-0.001844782,0.001430952,0.006651222,0.005334891,-0.001868042,-0.003673732,0.004383282
