month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI
03/1983,49.3,48.0,expansion,0.012320328542094338,0.042283298097251586,0.0602150537634408,1,1,1
04/1983,49.7,48.2,expansion,0.0081135902636918,0.033264033264033294,0.06423982869379015,1,1,1
05/1983,50.5,48.5,expansion,0.01609657947686111,0.036960985626283305,0.07675906183368873,1,1,1
06/1983,51.1,48.8,expansion,0.011881188118811909,0.036511156186612666,0.0803382663847781,1,1,1
07/1983,51.7,49.1,expansion,0.011741682974559714,0.04024144869215292,0.07484407484407488,1,1,1
08/1983,51.9,49.2,expansion,0.0038684719535782537,0.027722772277227695,0.06570841889117034,1,1,1
09/1983,52.5,49.8,expansion,0.011560693641618524,0.027397260273972573,0.06490872210953352,1,1,1
10/1983,53.2,50.2,expansion,0.013333333333333388,0.029013539651837523,0.0704225352112676,1,1,1
11/1983,53.6,50.5,expansion,0.007518796992481176,0.032755298651252464,0.06138613861386141,1,1,1
12/1983,54.2,50.9,expansion,0.011194029850746294,0.032380952380952434,0.06066536203522507,1,1,1
01/1984,54.8,51.3,expansion,0.011070110701106906,0.030075187969924703,0.059961315280464104,1,1,1
02/1984,55.3,51.5,expansion,0.009124087591240877,0.03171641791044768,0.06551059730250479,1,1,1
03/1984,55.4,51.7,expansion,0.0018083182640144923,0.02214022140221394,0.05523809523809521,1,1,1
04/1984,55.7,52.0,expansion,0.005415162454873723,0.01642335766423368,0.046992481203007516,1,1,1
05/1984,56.1,52.2,expansion,0.007181328545780944,0.01446654611211581,0.046641791044776115,1,1,1
06/1984,56.3,52.6,expansion,0.0035650623885917243,0.016245487364620913,0.03874538745387443,1,1,1
07/1984,56.4,52.6,expansion,0.0017761989342806649,0.012567324955116619,0.02919708029197083,1,1,1
08/1984,56.5,52.8,expansion,0.0017730496453900962,0.007130124777183575,0.02169981916817365,1,1,1
09/1984,56.5,53.0,expansion,0.0,0.0035523978685613297,0.01985559566787006,0,1,1
10/1984,56.7,53.0,expansion,0.0035398230088496078,0.005319148936170288,0.017953321364452424,1,1,1
11/1984,57.0,53.3,expansion,0.00529100529100524,0.008849557522123894,0.016042780748663076,1,1,1
12/1984,57.4,53.4,expansion,0.007017543859649098,0.015929203539822984,0.01953818827708706,1,1,1
01/1985,57.7,53.4,expansion,0.005226480836237008,0.01763668430335097,0.023049645390070997,1,1,1
02/1985,58.0,53.5,expansion,0.005199306759098737,0.017543859649122806,0.02654867256637168,1,1,1
03/1985,58.2,53.7,expansion,0.0034482758620690145,0.013937282229965231,0.03008849557522129,1,1,1
04/1985,58.3,53.7,expansion,0.0017182130584191462,0.010398613518197474,0.02821869488536145,1,1,1
05/1985,58.5,53.9,expansion,0.003430531732418574,0.008620689655172414,0.02631578947368421,1,1,1
06/1985,58.8,53.8,expansion,0.00512820512820508,0.010309278350515367,0.024390243902439,1,1,1
07/1985,59.0,53.8,expansion,0.0034013605442177355,0.012006861063464887,0.022530329289428025,1,1,1
08/1985,59.2,54.1,expansion,0.0033898305084746243,0.011965811965812015,0.02068965517241384,1,1,1
09/1985,59.4,54.3,expansion,0.003378378378378306,0.010204081632653086,0.020618556701030855,1,1,1
10/1985,59.5,54.3,expansion,0.0016835016835017075,0.00847457627118644,0.0205831903945112,1,1,1
11/1985,59.7,54.4,expansion,0.003361344537815174,0.008445945945945945,0.02051282051282056,1,1,1
12/1985,60.0,54.6,expansion,0.005025125628140656,0.010101010101010124,0.020408163265306173,1,1,1
01/1986,60.2,54.8,expansion,0.003333333333333381,0.01176470588235299,0.020338983050847505,1,1,1
02/1986,60.4,54.8,expansion,0.0033222591362125535,0.011725293132328236,0.0202702702702702,1,1,1
03/1986,60.5,54.9,expansion,0.0016556291390728713,0.008333333333333333,0.018518518518518542,1,1,1
04/1986,60.8,55.2,expansion,0.004958677685950366,0.00996677740863778,0.021848739495798273,1,1,1
05/1986,61.1,55.1,expansion,0.0049342105263158595,0.01158940397350998,0.02345058626465659,1,1,1
06/1986,61.5,55.2,expansion,0.006546644844517162,0.01652892561983471,0.025,1,1,1
07/1986,61.5,55.4,expansion,0.0,0.01151315789473689,0.02159468438538201,0,1,1
08/1986,61.6,55.5,expansion,0.0016260162601626248,0.008183306055646482,0.019867549668874218,1,1,1
09/1986,61.8,55.8,expansion,0.0032467532467531776,0.004878048780487759,0.021487603305785075,1,1,1
10/1986,61.9,55.8,expansion,0.0016181229773463014,0.006504065040650383,0.01809210526315792,1,1,1
11/1986,62.1,55.9,expansion,0.0032310177705977845,0.008116883116883116,0.016366612111292964,1,1,1
12/1986,62.5,56.3,expansion,0.006441223832528157,0.011326860841423994,0.016260162601626018,1,1,1
01/1987,62.5,55.9,expansion,0.0,0.009693053311793239,0.016260162601626018,0,1,1
02/1987,62.9,56.5,expansion,0.006399999999999977,0.012882447665056314,0.02110389610389606,1,1,1
03/1987,63.1,56.7,expansion,0.003179650238473813,0.009600000000000023,0.021035598705501687,1,1,1
04/1987,63.2,56.8,expansion,0.0015847860538827482,0.011200000000000045,0.02100161550888537,1,1,1
05/1987,63.4,56.9,expansion,0.0031645569620252488,0.00794912559618442,0.02093397745571654,1,1,1
06/1987,63.7,57.1,expansion,0.004731861198738238,0.009508716323296378,0.019200000000000047,1,1,1
07/1987,64.0,57.4,expansion,0.004709576138147522,0.01265822784810122,0.024,1,1,1
08/1987,64.2,57.6,expansion,0.0031250000000000444,0.012618296529968522,0.02066772655007956,1,1,1
09/1987,64.5,57.8,expansion,0.004672897196261638,0.0125588697017268,0.022187004754358138,1,1,1
10/1987,64.7,58.1,expansion,0.003100775193798494,0.010937500000000044,0.02373417721518987,1,1,1
11/1987,64.5,58.3,expansion,-0.0030911901081916975,0.004672897196261638,0.01735015772870665,0,1,1
12/1987,64.5,58.7,expansion,0.0,0.0,0.0125588697017268,0,0,1
01/1988,64.7,58.6,expansion,0.003100775193798494,0.0,0.010937500000000044,1,0,1
02/1988,65.2,59.0,expansion,0.0077279752704791345,0.010852713178294617,0.01557632398753894,1,1,1
03/1988,65.5,59.2,expansion,0.004601226993864987,0.015503875968992248,0.015503875968992248,1,1,1
04/1988,65.6,59.3,expansion,0.0015267175572518216,0.01391035548686231,0.01391035548686231,1,1,1
05/1988,65.9,59.4,expansion,0.004573170731707491,0.010736196319018449,0.021705426356589234,1,1,1
06/1988,66.3,59.7,expansion,0.006069802731411099,0.012213740458015224,0.027906976744186,1,1,1
07/1988,66.3,59.8,expansion,0.0,0.010670731707317117,0.024729520865533143,0,1,1
08/1988,66.5,59.9,expansion,0.0030165912518854126,0.009104704097116757,0.01993865030674842,1,1,1
09/1988,66.6,60.0,expansion,0.001503759398496155,0.004524886877828011,0.016793893129770907,1,1,1
10/1988,66.9,60.3,expansion,0.004504504504504675,0.009049773755656238,0.01981707317073188,1,1,1
11/1988,67.0,60.4,expansion,0.0014947683109117235,0.007518796992481203,0.016691957511380792,1,1,1
12/1988,67.2,60.8,expansion,0.002985074626865714,0.009009009009009137,0.01357466063348425,1,1,1
01/1989,67.3,61.0,expansion,0.0014880952380951534,0.0059790732436471065,0.015082956259426848,1,1,1
02/1989,67.3,61.0,expansion,0.0,0.004477611940298465,0.012030075187969882,0,1,1
03/1989,67.0,61.0,expansion,-0.004457652303120315,-0.0029761904761905185,0.006006006006006092,0,0,1
04/1989,67.1,61.1,expansion,0.001492537313432751,-0.00297176820208028,0.002989536621823447,1,0,1
05/1989,66.9,60.9,expansion,-0.0029806259314454344,-0.005943536404160349,-0.001492537313432751,0,0,0
06/1989,66.8,61.0,expansion,-0.001494768310911936,-0.002985074626865714,-0.005952380952381037,0,0,0
07/1989,66.5,60.8,expansion,-0.004491017964071814,-0.008941877794336727,-0.011887072808320909,0,0,0
08/1989,66.7,61.2,expansion,0.003007518796992524,-0.0029895366218236595,-0.00891530460624063,1,0,0
09/1989,66.7,61.2,expansion,0.0,-0.001497005988023867,-0.004477611940298465,0,0,0
10/1989,66.5,61.2,expansion,-0.00299850074962523,0.0,-0.008941877794336727,0,0,0
11/1989,66.6,61.4,expansion,0.001503759398496155,-0.0014992503748127214,-0.004484304932735596,1,0,0
12/1989,66.6,61.5,expansion,0.0,-0.0014992503748127214,-0.002994011976047947,0,0,0
01/1990,66.5,61.5,expansion,-0.0015015015015014163,0.0,0.0,0,0,0
02/1990,66.3,61.8,expansion,-0.003007518796992524,-0.004504504504504462,-0.00599700149925046,0,0,0
03/1990,66.4,62.0,expansion,0.0015082956259428134,-0.0030030030030028325,-0.004497751124437738,1,0,0
04/1990,66.1,62.0,expansion,-0.004518072289156797,-0.006015037593985048,-0.006015037593985048,0,0,0
05/1990,66.1,62.1,expansion,0.0,-0.0030165912518854126,-0.007507507507507508,0,0,0
06/1990,66.1,62.2,expansion,0.0,-0.004518072289156797,-0.007507507507507508,0,0,0
07/1990,65.8,62.2,contraction,-0.004538577912254118,-0.004538577912254118,-0.010526315789473727,0,0,0
08/1990,64.8,62.2,contraction,-0.015197568389057751,-0.01966717095310132,-0.02262443438914027,0,0,0
09/1990,63.9,61.9,contraction,-0.013888888888888867,-0.03328290468986378,-0.037650602409638655,0,0,0
